LATd,LONd,ALTm,Hdop,HhMmSs,iHhMmSs,H1mS_m,H1ppt,P1mS_m,P1ppt,V,C,Pdeg,Rdeg,Xgal,Ygal,Zgal,XmuT,YmuT,ZmuT,ihHhMmSs,HhmS_m,Hhppt,PhmS_m,Phppt
-32.5041679,116.9701739,278.1282959,3,210920.285,134756,35.2,0.49,20.9,1.93,12.84,27.6,1.4,7.7,-24,137,1019,12.4,-10.2,43,134756,23,-0.06,-0.4,0.02
-32.5041679,116.9701739,278.1306152,3,210921.299,134757,35.3,0.49,21,1.93,12.85,27.6,1.4,7.7,-24,137,1019,12.4,-10.3,43,134757,23.2,-0.07,-0.4,0.02
-32.5041679,116.9701738,278.1323242,3,210922.276,134758,35.3,0.5,20.8,1.94,12.85,27.6,1.4,7.7,-24,137,1019,12.3,-10.1,43,134758,23.4,-0.06,-0.4,0.02
-32.5041679,116.9701738,278.1352539,3,210923.28,134759,35,0.49,20.8,1.94,12.85,27.7,1.4,7.7,-24,137,1019,12.3,-10,42.9,134759,23.2,-0.07,-0.4,0.02
-32.5041679,116.9701738,278.1330566,3,210924.292,134800,34.8,0.49,21,1.94,12.85,27.7,1.4,7.7,-24,137,1019,12.3,-10.4,42.9,134800,23,-0.06,-0.4,0.02
-32.5041678,116.9701739,277.9777222,3,210925.274,134801,35.1,0.48,20.9,1.94,12.85,27.7,1.4,7.7,-24,137,1019,12.3,-10.3,43,134801,23.3,-0.06,-0.4,0.02
-32.5041672,116.9701744,277.4216309,3,210926.27,134802,35.1,0.5,20.6,1.95,12.85,27.7,1.4,7.7,-24,137,1020,12.4,-10,43,134802,23.3,-0.06,-0.4,0.02
-32.5041664,116.970176,277.3851929,3.260999918,210927.293,134803,35.5,0.49,21,1.95,12.85,27.7,1.3,7.7,-24,137,1019,12.3,-10,43,134803,23.2,-0.06,-0.4,0.02
-32.5041654,116.9701769,277.5795288,3.111999989,210928.273,134804,35,0.49,21,1.95,12.85,27.8,1.4,7.7,-24,137,1019,12.4,-10.2,43,134804,22.9,-0.06,-0.4,0.02
-32.5041642,116.9701771,276.8782349,3.016000032,210929.261,134805,35.1,0.49,21.2,1.95,12.85,27.8,1.4,7.7,-24,137,1020,12.4,-10,43,134805,23.1,-0.06,-0.4,0.02
-32.5041085,116.9701581,279.0960693,3,212243.354,134806,35.3,0.49,21,1.95,12.85,27.8,1.4,7.7,-24,137,1020,12.3,-10.3,43,134806,23.3,-0.06,-0.4,0.02
-32.5041084,116.970158,279.1665039,3,212244.299,140119,8.1,0.25,1.7,2.77,12.92,34.8,0.7,-13.1,-12,-235,1017,13.5,-23.5,37.9,140119,7.9,-0.14,-1.2,0.09
-32.5041083,116.9701581,279.0931396,3,212245.291,140120,8.1,0.24,1.8,2.76,12.9,34.8,0.3,-12.4,-5,-224,1021,14.4,-22.2,38.4,140120,7.7,-0.14,-1.2,0.09
-32.5041084,116.9701582,279.0526733,3,212246.318,140121,8.1,0.26,2.1,2.77,12.9,34.8,-0.1,-12.7,2,-229,1020,14.5,-22.5,38.2,140121,7.7,-0.14,-1.2,0.09
-32.5041083,116.9701583,279.1293335,3,212247.281,140122,8.1,0.25,1.7,2.79,12.9,34.8,-0.2,-14.4,4,-258,1013,14.6,-23.8,37.4,140122,7.6,-0.14,-1.2,0.09
-32.5041083,116.9701585,279.1228027,3,212248.31,140123,7.6,0.26,1.7,2.81,12.9,34.8,0,-20,0,-355,983,14.5,-27.2,35.2,140123,7.6,-0.14,-1.2,0.09
-32.5041082,116.9701586,279.1005249,3,212249.319,140124,7.3,0.26,1.6,2.85,12.9,34.8,-0.7,-22.2,12,-392,970,14.4,-28.9,34,140124,7.4,-0.14,-1.2,0.09
-32.5041082,116.9701586,279.0862427,3,212250.298,140125,7.2,0.25,1.5,2.87,12.9,34.8,-0.5,-25.1,8,-441,951,14.3,-30.2,32.7,140125,7.3,-0.14,-1.2,0.1
-32.5041082,116.9701587,279.0894775,3,212251.303,140126,7.1,0.25,1.6,2.89,12.9,34.8,0.3,-25.4,-4,-445,945,13.8,-30.8,32.5,140126,7.2,-0.14,-1.2,0.1
-32.5041082,116.9701587,279.0906982,3,212252.318,140127,7.1,0.26,1.7,2.9,12.9,34.8,0,-29.3,0,-508,913,14.1,-32.6,30.4,140127,7.4,-0.14,-1.2,0.1
-32.5041082,116.9701588,279.1063232,3,212253.329,140128,6.7,0.25,1.4,2.95,12.9,34.8,-0.5,-35.2,8,-598,855,14.4,-35.2,27.1,140128,7,-0.14,-1.2,0.11
-32.5041081,116.9701588,279.1127319,3,212254.296,140129,6.2,0.26,1.3,2.98,12.9,34.8,0.4,-38.9,-6,-653,813,14,-37.1,24.7,140129,7,-0.14,-1.2,0.12
-32.5041081,116.9701589,279.1123657,3,212255.319,140130,6.2,0.26,1.4,3.02,12.89,34.8,-0.2,-41.7,4,-693,778,14.2,-38.3,22.9,140130,6.9,-0.14,-1.2,0.12
-32.5041081,116.970159,279.1037598,3,212256.287,140131,6.2,0.26,1.4,3.04,12.9,34.8,0,-44.1,0,-728,745,14.1,-39.3,20.7,140131,6.8,-0.14,-1.2,0.13
-32.5041069,116.9701593,279.9534302,3,212257.296,140132,5.6,0.26,1.4,3.09,12.89,34.8,0.6,-48.8,-10,-783,684,13.6,-40.7,18,140132,6.7,-0.14,-1.2,0.14
-32.5041056,116.9701604,280.7488403,3,212258.323,140133,5.6,0.26,1.1,3.14,12.9,34.8,1.1,-51.4,-20,-812,643,13.3,-41.8,15.6,140133,6.5,-0.14,-1.2,0.15
-32.5041043,116.9701628,280.8551636,3,212259.308,140134,4.6,0.26,1.1,3.21,12.9,34.8,0.5,-58.8,-8,-886,530,13.8,-43.1,10.5,140134,6.4,-0.14,-1.2,0.16
-32.5041037,116.970165,281.0350952,3,212300.298,140135,4.4,0.25,0.9,3.32,12.9,34.8,1.1,-66.1,-19,-941,415,14,-43.9,5.2,140135,6.3,-0.14,-1.2,0.18
-32.5041037,116.9701669,280.9423828,3,212301.318,140136,4.3,0.25,0.8,3.34,12.89,34.8,1,-66.7,-17,-946,404,13.7,-43.9,4.2,140136,6.1,-0.14,-1.2,0.18
-32.5041041,116.9701683,280.9630737,3,212302.303,140137,4.4,0.26,0.8,3.39,12.89,34.8,1.8,-70.2,-31,-964,346,13,-44.4,1.6,140137,6.2,-0.14,-1.2,0.19
