Timestamp [HhMmSs]	HCP conductivity of 0.5m array [mS/m]	HCP inphase of 0.5m array [ppt]	PRP conductivity of 0.5m array [mS/m]	PRP inphase of 0.5m array [ppt]	HCP conductivity of 1m array [mS/m]	HCP inphase of 1m array [ppt]	PRP conductivity of 1m array [mS/m]	PRP inphase of 1m array [ppt]	Voltage [V]	Temperature [deg]	Pitch [deg]	Roll [deg]	Acceleration X [gal]	Acceleration Y [gal]	Acceleration Z [gal]	Magnetic field X [nT]	Magnetic field Y [nT]	Magnetic field Z [nT]	Temperature [deg]	
201758.072	+4.5	+2.10	-1.2	+0.60	+11.0	+0.96	+0.7	+2.02	+12.61	+22.8	+0.7	+4.6	-12	+82	+1024	+169	-24	+417	+25.7	
201759.072	+4.5	+2.10	-1.2	+0.60	+11.3	+0.96	+0.6	+2.02	+12.59	+22.8	+0.7	+4.6								
201800.072	+4.4	+2.10	-1.2	+0.60	+11.1	+0.96	+0.7	+2.02	+12.61	+22.8	+0.7	+4.6	-13	+82	+102	+169	-24	+417	+25.7	
201801.072	+4.3	+2.10	-1.2	+0.60	+11.3	+0.97	+0.6	+2.01	+12.59	+22.8	+0.7	+4.6								
201802.072	+4.6	+2.10	-1.2	+0.60	+11.2	+0.96	+0.6	+2.02	+12.62	+22.8	+0.7	+4.6	-12	+82	+1024	+169	-23	+417	+25.7	
201803.072	+4.5	+2.10	-1.2	+0.60	+11.3	+0.96	+0.4	+2.02	+12.59	+22.8	+0.7	+4.6								
201804.072	+4.4	+2.10	-1.3	+0.60	+11.0	+0.97	+0.5	+2.02	+12.62	+22.8	+0.7	+4.6	-12	+82	+1024	169	-22	+417	+25.7	
201805.072	+4.3	+2.10	-1.2	+0.60	+11.6	+0.97	+0.7	+2.02	+12.59	+22.8	+0.7	+4.6								
201806.072	+4.2	+2.10	-1.3	+0.60	+11.4	+0.96	+0.5	+2.02	+12.59	+22.8	+0.7	+4.6	-13	+82	+1024	+69	-24	+417	+25.7	
201807.072	+4.6	+2.10	-1.3	+0.60	+10.9	+0.96	+0.6	+2.01	+12.61	+22.7	+3.1	+4.5	-56	+80	+1024	+169	-26	+417	+25.7	
