Latitude,Longitude,Timestamp [HhMmSs],HCP conductivity of 0.5m array [mS/m],HCP inphase of 0.5m array [ppt],PRP conductivity of 0.5m array [mS/m],PRP inphase of 0.5m array [ppt],HCP conductivity of 1m array [mS/m],HCP inphase of 1m array [ppt],PRP conductivity of 1m array [mS/m],PRP inphase of 1m array [ppt],Voltage [V],Temperature [deg],Pitch [deg],Roll [deg],Acceleration X [gal],Acceleration Y [gal],Acceleration Z [gal],Magnetic field X [nT],Magnetic field Y [nT],Magnetic field Z [nT],Temperature [deg]
-31.977426123666667 115.81717328233333,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63
-31.977426123666667 115.81717328233333,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51
-31.977426123666667 115.81717328233333,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5
-31.977426123666667 115.81717328233333,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8
-31.977426123666667 115.81717328233333,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63
-31.977426123666667 115.81717328233333,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51
-31.977426123666667 115.81717328233333,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5
-31.977426123666667 115.81717328233333,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63
-31.977426123666667 115.81717328233333,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51
-31.977426123666667 115.81717328233333,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5
-31.977426123666667 115.81717328233333,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8
-31.977426123666667 115.81717328233333,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63
-31.977426123666667 115.81717328233333,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51
-31.977426123666667 115.81717328233333,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5
-31.977426123666667 115.81717328233333,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8
-31.977426123666667 115.81717328233333,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63
-31.977426123666667 115.81717328233333,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51
-31.977426123666667 115.81717328233333,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5
-31.977426123666667 115.81717328233333,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8
-31.977426123666667 115.81717328233333,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63
-31.977426123666667 115.81717328233333,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63
-31.977426123666667 115.81717328233333,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51
-31.977426123666667 115.81717328233333,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5
-31.977426123666667 115.81717328233333,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8
-31.977426123666667 115.81717328233333,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63
-31.977426123666667 115.81717328233333,+11.95,+15.4,-0.2,+9.5,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51
-31.977426123666667 115.81717328233333,+4,+166,+999,-100,+165,+367,+17.8,223616.752,+46.9,+3.01,+4.4,+0.63,223616.752,+14.2,+2.45,+56.8,+2.51,+11.95,+15.4,-0.2,+9.5
